_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id
683a48799a4a688b481a134f,8016,instructions,0,8025,0,0,NA,NA,NA,NA,NA,NA
683a48799a4a688b481a1351,25828,html-button-response,1,33860,0,0,0,NA,NA,NA,NA,NA
683a48799a4a688b481a1355,5059,survey-multi-choice,3,49977,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a48799a4a688b481a1359,3805,survey-multi-choice,5,64126,0,0,"{""Q0"":""material""}",steak,category_organization,NA,NA,NA
683a48799a4a688b481a1353,8650,survey-multi-choice,2,42518,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a48799a4a688b481a1357,8796,survey-multi-choice,4,60317,0,0,"{""Q0"":""shape""}",shovel,category_organization,NA,NA,NA
683a48799a4a688b481a135b,5447,survey-multi-choice,6,69577,0,0,"{""Q0"":""material""}",radish,category_organization,NA,NA,NA
683a48799a4a688b481a135d,3838,survey-multi-choice,7,73420,0,0,"{""Q0"":""shape""}",puzzle,category_organization,NA,NA,NA
683a48799a4a688b481a135f,4758,survey-multi-choice,8,78182,0,0,"{""Q0"":""shape""}",finger,category_organization,NA,NA,NA
683a48799a4a688b481a1361,2785,survey-multi-choice,9,80972,0,0,"{""Q0"":""material""}",bush,category_organization,NA,NA,NA
683a48799a4a688b481a1363,3522,survey-multi-choice,10,84497,0,0,"{""Q0"":""material""}",yogurt drink,category_organization,NA,NA,NA
683a48799a4a688b481a1365,4220,survey-multi-choice,11,88720,0,0,"{""Q0"":""material""}",sponge,category_organization,NA,NA,NA
683a48799a4a688b481a1367,5513,survey-multi-choice,12,94236,0,0,"{""Q0"":""shape""}",closet,category_organization,NA,NA,NA
683a487a9a4a688b481a1369,14343,survey-multi-choice,13,108583,0,0,"{""Q0"":""shape""}",pocket,category_organization,NA,NA,NA
683a487a9a4a688b481a136b,3404,survey-multi-choice,14,111991,0,0,"{""Q0"":""color""}",lavender,attention_category,NA,NA,NA
683a487a9a4a688b481a136d,2472,instructions,15,114465,0,0,NA,NA,NA,NA,NA,NA
683a488d9a4a688b481a136f,1520,instructions,0,1521,0,0,NA,NA,NA,NA,NA,NA
683a488e9a4a688b481a1371,14236,html-button-response,1,15759,0,0,0,NA,NA,NA,NA,NA
683a488e9a4a688b481a1373,4310,survey-multi-choice,2,20071,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a488e9a4a688b481a1375,3503,survey-multi-choice,6,38557,0,0,"{""Q0"":""none of these""}",sleeve,category_organization,NA,NA,NA
683a488e9a4a688b481a1377,3462,survey-multi-choice,3,24639,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a488e9a4a688b481a1379,4731,survey-multi-choice,4,30604,0,0,"{""Q0"":""none of these""}",tractor,category_organization,NA,NA,NA
683a488e9a4a688b481a137b,4448,survey-multi-choice,5,35053,0,0,"{""Q0"":""none of these""}",yogurt,category_organization,NA,NA,NA
683a488e9a4a688b481a137d,2755,survey-multi-choice,7,41313,0,0,"{""Q0"":""none of these""}",light,category_organization,NA,NA,NA
683a488e9a4a688b481a137f,2668,survey-multi-choice,8,43983,0,0,"{""Q0"":""none of these""}",whale,category_organization,NA,NA,NA
683a488e9a4a688b481a1381,2251,survey-multi-choice,9,46235,0,0,"{""Q0"":""none of these""}",phone,category_organization,NA,NA,NA
683a488e9a4a688b481a1383,3494,survey-multi-choice,12,53685,0,0,"{""Q0"":""none of these""}",hair dryer,category_organization,NA,NA,NA
683a488e9a4a688b481a1385,2375,survey-multi-choice,10,48610,0,0,"{""Q0"":""none of these""}",eagle,category_organization,NA,NA,NA
683a488e9a4a688b481a1387,1578,survey-multi-choice,11,50189,0,0,"{""Q0"":""none of these""}",turtle,category_organization,NA,NA,NA
683a488e9a4a688b481a1389,2053,survey-multi-choice,13,55739,0,0,"{""Q0"":""none of these""}",bathtub,category_organization,NA,NA,NA
683a488e9a4a688b481a138b,2432,survey-multi-choice,15,60259,0,0,"{""Q0"":""none of these""}",patio,category_organization,NA,NA,NA
683a488e9a4a688b481a138d,2086,survey-multi-choice,14,57826,0,0,"{""Q0"":""none of these""}",boots,category_organization,NA,NA,NA
683a488e9a4a688b481a138f,2868,survey-multi-choice,16,63128,0,0,"{""Q0"":""none of these""}",tofu,category_organization,NA,NA,NA
683a488e9a4a688b481a1391,4476,survey-multi-choice,18,68910,0,0,"{""Q0"":""none of these""}",fly (animal),category_organization,NA,NA,NA
683a488e9a4a688b481a1393,1304,survey-multi-choice,17,64433,0,0,"{""Q0"":""none of these""}",honey,category_organization,NA,NA,NA
683a488e9a4a688b481a1395,2744,survey-multi-choice,19,71654,0,0,"{""Q0"":""none of these""}",frog,category_organization,NA,NA,NA
683a488e9a4a688b481a1397,7324,survey-multi-choice,20,78980,0,0,"{""Q0"":""none of these""}",ice cream,category_organization,NA,NA,NA
683a488e9a4a688b481a1399,2363,survey-multi-choice,21,81344,0,0,"{""Q0"":""none of these""}",kite,category_organization,NA,NA,NA
683a488e9a4a688b481a139b,1323,survey-multi-choice,22,82668,0,0,"{""Q0"":""none of these""}",racket,category_organization,NA,NA,NA
683a488e9a4a688b481a139d,1299,survey-multi-choice,23,83968,0,0,"{""Q0"":""none of these""}",melon,category_organization,NA,NA,NA
683a488e9a4a688b481a139f,2990,survey-multi-choice,24,86960,0,0,"{""Q0"":""color""}",lavender,attention_category,NA,NA,NA
683a488e9a4a688b481a13a1,2096,instructions,25,89057,0,0,NA,NA,NA,NA,NA,NA
683a488f9a4a688b481a13a3,13911,instructions,0,13912,0,0,NA,NA,NA,NA,NA,NA
683a488f9a4a688b481a13a5,35112,html-button-response,1,49026,0,0,0,NA,NA,NA,NA,NA
683a488f9a4a688b481a13a7,5299,survey-multi-choice,3,83091,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a488f9a4a688b481a13a9,26399,survey-multi-choice,2,75427,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category,NA,NA,NA
683a488f9a4a688b481a13af,7299,survey-multi-choice,6,113241,0,0,"{""Q0"":""none of these""}",finger,category_organization,NA,NA,NA
683a488f9a4a688b481a13ab,10149,survey-multi-choice,5,105941,0,0,"{""Q0"":""shape""}",puzzle,category_organization,NA,NA,NA
683a488f9a4a688b481a13ad,11182,survey-multi-choice,4,95791,0,0,"{""Q0"":""none of these""}",steak,category_organization,NA,NA,NA
683a488f9a4a688b481a13b1,4931,survey-multi-choice,8,123726,0,0,"{""Q0"":""material""}",radish,category_organization,NA,NA,NA
683a488f9a4a688b481a13b3,5551,survey-multi-choice,7,118794,0,0,"{""Q0"":""material""}",yogurt drink,category_organization,NA,NA,NA
683a488f9a4a688b481a13b5,7581,survey-multi-choice,10,137908,0,0,"{""Q0"":""material""}",bush,category_organization,NA,NA,NA
683a488f9a4a688b481a13b7,6599,survey-multi-choice,9,130325,0,0,"{""Q0"":""none of these""}",pocket,category_organization,NA,NA,NA
683a488f9a4a688b481a13b9,4532,survey-multi-choice,11,142441,0,0,"{""Q0"":""none of these""}",closet,category_organization,NA,NA,NA
683a488f9a4a688b481a13bb,6117,survey-multi-choice,12,148559,0,0,"{""Q0"":""material""}",shovel,category_organization,NA,NA,NA
683a488f9a4a688b481a13bd,4648,survey-multi-choice,13,153208,0,0,"{""Q0"":""material""}",sponge,category_organization,NA,NA,NA
683a488f9a4a688b481a13bf,4083,instructions,15,160674,0,0,NA,NA,NA,NA,NA,NA
